sprintId,sprintName,projectName,sprintStartDate,sprintEndDate,storyPoints,sprintDurationPassed,sprintDurationEstimated,parentKey,parentId,sprintStatus,storyKey,isSubTask,storyType,timeSpent,storyStatus,storystatus(list),sprintDurationEstimated(in hours),sprintDurationPassed(in hours),sprintDurationDifference(in hours),parentId(List)
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9837,False,Bug,"10,800",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,3,972002,950400,-,-,active,EPP-103,False,Story,"79,200",Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,13,972002,950400,-,-,active,EPP-111,False,Story,0,To Do,not done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,13,972002,950400,-,-,active,EPP-107,False,Story,"7,200",To Do,not done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,1,972002,950400,-,-,active,EPP-119,False,Bug,0,Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,3,972002,950400,-,-,active,EPP-122,False,Bug,0,Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,5,972002,950400,-,-,active,EPP-123,False,Bug,"14,400",Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,3,972002,950400,-,-,active,EPP-127,False,Bug,0,Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,8,972002,950400,-,-,active,EPP-128,False,Story,0,Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,5,972002,950400,-,-,active,EPP-129,False,Story,0,Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,3,972002,950400,-,-,active,EPP-130,False,Story,"10,800",Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,3,972002,950400,-,-,active,EPP-131,False,Bug,0,Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,1,972002,950400,-,-,active,EPP-132,False,Task,0,Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,2,972002,950400,-,-,active,EPP-126,False,Task,0,Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,3,972002,950400,-,-,active,EPP-135,False,Task,"7,200",Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,5,972002,950400,-,-,active,EPP-137,False,Task,0,Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
