sprintId,sprintName,projectName,sprintStartDate,sprintEndDate,storyPoints,sprintDurationPassed,sprintDurationEstimated,parentKey,parentId,sprintStatus,storyKey,isSubTask,storyType,timeSpent,storyStatus,storystatus(list),sprintDurationEstimated(in hours),sprintDurationPassed(in hours),sprintDurationDifference(in hours),parentId(List)
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9837,FALSE,Bug,"10,800",Done,done,167.995,434.8138889,266.8188889,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,3,972002,950400,-,-,active,EPP-103,FALSE,Story,"79,200",Done,done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,13,972002,950400,-,-,active,EPP-111,FALSE,Story,0,To Do,not done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,13,972002,950400,-,-,active,EPP-107,FALSE,Story,"7,200",To Do,not done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,1,972002,950400,-,-,active,EPP-119,FALSE,Bug,0,Done,done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,3,972002,950400,-,-,active,EPP-122,FALSE,Bug,0,Done,done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,5,972002,950400,-,-,active,EPP-123,FALSE,Bug,"14,400",Done,done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,3,972002,950400,-,-,active,EPP-127,FALSE,Bug,0,Done,done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,8,972002,950400,-,-,active,EPP-128,FALSE,Story,0,Done,done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,5,972002,950400,-,-,active,EPP-129,FALSE,Story,0,Done,done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,3,972002,950400,-,-,active,EPP-130,FALSE,Story,"10,800",Done,done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,3,972002,950400,-,-,active,EPP-131,FALSE,Bug,0,Done,done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,1,972002,950400,-,-,active,EPP-132,FALSE,Task,0,Done,done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,2,972002,950400,-,-,active,EPP-126,FALSE,Task,0,Done,done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,3,972002,950400,-,-,active,EPP-135,FALSE,Task,"7,200",Done,done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,5,972002,950400,-,-,active,EPP-137,FALSE,Task,0,Done,done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,13,972002,950400,-,-,active,EPP-134,FALSE,Story,0,In Progress,not done,264,270.0005556,6.000555556,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,13,972002,950400,-,-,active,EPP-133,FALSE,Story,0,To Do,not done,264,270.0005556,6.000555556,No Parent
